Player,Year,Pos,PPG,APG,RPG,BPG,SPG,PER,TS%,Score,Label
Charles Jones,1990,C,3.1604938271604937,1.7160493827160495,6.222222222222222,2.432098765432099,0.6172839506172839,9.2,0.554,4.05449012345679,Reserva
Michael Jordan*,1990,SG,33.573170731707314,6.329268292682927,6.890243902439025,0.6585365853658537,2.768292682926829,31.2,0.606,15.349136585365853,All-Star
Shawn Kemp,1990,PF,6.481481481481482,0.32098765432098764,4.271604938271605,0.8641975308641975,0.5802469135802469,15.9,0.531,5.3813098765432095,Reserva
Tim Kempton,1990,PF,5.394366197183099,1.6619718309859155,3.0704225352112675,0.1267605633802817,0.4225352112676056,10.7,0.529,3.9452239436619716,Reserva
Steve Kerr,1990,PG,6.666666666666667,3.1794871794871793,1.2564102564102564,0.08974358974358974,0.5769230769230769,12.0,0.56,4.635487179487179,Reserva
Jerome Kersey,1990,SF,15.975609756097562,2.292682926829268,8.414634146341463,0.7682926829268293,1.475609756097561,15.7,0.521,9.107099999999999,Reserva
Randolph Keys,1990,SF,8.7625,1.1,3.1625,0.1,0.85,10.9,0.474,5.038649999999999,Reserva
Stan Kimbrough,1990,PG,1.6,0.5,0.7,0.0,0.4,12.1,0.474,2.4374,Reserva
Bernard King*,1990,SF,22.402439024390244,4.585365853658536,4.926829268292683,0.08536585365853659,0.6219512195121951,18.8,0.545,10.651329268292683,Role Player
Stacey King,1990,PF,8.878048780487806,1.0609756097560976,4.682926829268292,0.7073170731707317,0.4634146341463415,13.8,0.562,5.843273170731706,Reserva
Greg Kite,1990,C,3.23943661971831,1.0704225352112675,5.309859154929577,0.7183098591549296,0.43661971830985913,7.0,0.446,3.1427225352112678,Reserva
Joe Kleine,1990,C,5.37037037037037,0.5679012345679012,4.382716049382716,0.3333333333333333,0.18518518518518517,10.5,0.529,3.5486722222222222,Reserva
Jon Koncak,1990,C,3.6666666666666665,0.42592592592592593,4.185185185185185,0.6296296296296297,0.7037037037037037,8.7,0.612,3.0468962962962967,Reserva
Frank Kornet,1990,PF,1.9824561403508771,0.3684210526315789,1.2456140350877194,0.05263157894736842,0.24561403508771928,6.1,0.431,1.8317842105263156,Reserva
Larry Krystkowiak,1990,PF,7.0,1.5625,4.75,0.125,0.625,7.6,0.423,4.307300000000001,Reserva
Bill Laimbeer,1990,C,12.11111111111111,2.111111111111111,9.62962962962963,1.037037037037037,0.7037037037037037,15.8,0.564,7.1785703703703705,Reserva
Jerome Lane,1990,PF,4.985074626865671,1.5671641791044777,5.388059701492537,0.2537313432835821,0.7910447761194029,12.8,0.462,4.643811940298507,Reserva
Andrew Lang,1990,C,3.4864864864864864,0.28378378378378377,3.6621621621621623,1.7972972972972974,0.2972972972972973,13.2,0.594,3.59497027027027,Reserva
Jeff Lebo,1990,SG,1.5,0.75,1.0,0.0,0.5,5.8,0.381,1.5455999999999999,Reserva
